Created,Address,Amount,Release date,Contract
27.02.2023,0x99098c56ACAb7B814aade17658987380ceD51B19,0.0,26.08.2023,180
27.02.2023,0x99098c56ACAb7B814aade17658987380ceD51B19,100.0,26.08.2023,180
27.02.2023,0x99098c56ACAb7B814aade17658987380ceD51B19,100.0,22.02.2024,360
27.02.2023,0x99098c56ACAb7B814aade17658987380ceD51B19,100.0,16.02.2025,720
